IATA_CODE,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355
DHN,Dothan Regional Airport,Dothan,AL,31.32134,-85.44963
HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311
MGM,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398
MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,34.7294,-92.22425
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,33.45371,-93.99102
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67122
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806
TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103
YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597
ACV,Arcata Airport,Arcata/Eureka,CA,40.97812,-124.10862
BFL,Meadows Field,Bakersfield,CA,35.4336,-119.05677
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,41.78016,-124.23653
CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814
LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,33.81772,-118.15161
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83777
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295
OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072
ONT,Ontario International Airport,Ontario,CA,34.056,-117.60119
PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625
RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,32.73356,-117.18966
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,35.23706,-120.64239
SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37484
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,37.36186,-121.92901
SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,33.67566,-117.86822
ASE,Aspen-Pitkin County Airport,Aspen,CO,39.22316,-106.86885
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025
DEN,Denver International Airport,Denver,CO,39.85841,-104.667
DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75377
EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177
GJT,Grand Junction Regional Airport (Walker Field),Grand Junction,CO,39.12241,-108.52673
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766
MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383
PUB,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49657
BDL,Bradley International Airport,Windsor Locks,CT,41.93887,-72.68323
ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806
EYW,Key West International Airport,Key West,FL,24.55611,-81.75956
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275
GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178
JAX,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786
MCO,Orlando International Airport,Orlando,FL,28.42889,-81.31603
MIA,Miami International Airport,Miami,FL,25.79325,-80.29056
MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581
PBI,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744
RSW,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411
TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033
TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254
ABY,Southwest Georgia Regional Airport,Albany,GA,31.53552,-84.19447
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,33.36996,-81.9645
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694
BQK,Brunswick Golden Isles Airport,Brunswick,GA,31.25903,-81.46631
CSG,Columbus Metropolitan Airport,Columbus,GA,32.51633,-84.93886
SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214
VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672
GUM,Guam International Airport,Agana,GU,13.48345,-144.79598
ALO,Waterloo Regional Airport,Waterloo,IA,42.55708,-92.40034
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087
DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917
DSM,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068
SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437
BOI,Boise Airport (Boise Air Terminal),Boise,ID,43.56444,-116.22278
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.51456,-112.07017
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539
PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586
SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,42.4818,-114.48774
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,40.47799,-88.91595
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806
MDW,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242
MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331
SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762
EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515
IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,41.70895,-86.31847
GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72441
HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403
